date,banking_beta,equity_returns_inv,equity_volatility,debt_spread,empi,fsi_variance_equal,banking_beta_std,equity_returns_inv_std,equity_volatility_std,debt_spread_std,empi_std
2014-05-01,0.6357348157670643,-0.040267409868034676,0.05494031890544283,,-0.019214337126556458,-0.5517559864497151,-2.164648550573229,0,-0.028136231901421813,,-0.014239163324209717
2014-06-01,0.6129133684932982,-0.007012312590644498,0.04354804901652267,,-0.028490232748883904,-0.6897756110765769,-2.27131959305813,0,-0.467545241991963,,-0.020237609256214883
2014-07-01,0.596729058884957,-0.013198364684425812,0.03878054676439875,,-0.057878915179706086,-0.7594104103933933,-2.3469676077133923,0,-0.6514316373843009,,-0.03924239647588008
2014-08-01,0.6264107343095661,-0.06586869968525733,0.04131007653992687,,-0.06678349727379021,-0.7017742855612267,-2.2082307772985605,0,-0.5538656399582415,,-0.04500072498810441
2014-09-01,0.615841529256912,-0.03190208854055676,0.040511660735710865,,-0.1177233476612326,-0.7300590248398758,-2.2576329080082678,0,-0.5846611795295439,,-0.07794201182169175
2014-10-01,0.6160084583881698,-0.03661265527073709,0.039918925601898476,,-0.1283796933917972,-0.7373023147466576,-2.256852654931469,0,-0.6075234502564423,,-0.0848331537987192
2014-11-01,0.6021258130303946,-0.008202839478146373,0.03899582926751382,,-0.19792486902355064,-0.7736690743708193,-2.321742328009493,0,-0.6431280181314242,,-0.12980595134235998
2014-12-01,0.5987864122937705,0.010591513362999905,0.039311920484913734,,-0.23375713058067385,-0.7803162372138385,-2.33735121352746,0,-0.6309361257087301,,-0.15297760961916368
2015-01-01,0.5875887620693959,-0.009945322972832571,0.03825419709718038,,2.0056595381908147,-0.4415593974512618,-2.3896907960476446,0,-0.671733367284402,,1.2951865735269994
2015-02-01,0.6667365401913421,0.048558167785087036,0.03618310431439037,,1.9297326315093903,-0.38131794601390157,-2.0197416030209236,0,-0.7516170812733518,,1.2460869002386694
2015-03-01,0.6792580766926177,-0.034304321940684446,0.034634976032107995,,1.8725353535266782,-0.3908611200699648,-1.9612139673245135,0,-0.8113296339642315,,1.2090991210088855
2015-04-01,0.6843054803206428,0.046376729666746996,0.03670529986497687,,1.7893152532894994,-0.378453507434415,-1.9376216070160408,0,-0.7314755789920492,,1.15528315627043
2015-05-01,0.6656197401858529,-0.04052062322072736,0.033909252606648524,,1.7251463264760503,-0.43762401333667234,-2.0249617023162743,0,-0.8393213700352674,,1.1137870190048522
2015-06-01,0.7649839222664252,0.0009585131279177261,0.033918775934810165,,1.663717655306484,-0.33135224349288156,-1.5605178499590957,0,-0.838954047610406,,1.0740629235979753
2015-07-01,0.7392526937253255,0.02996415456581758,0.03459077996536666,,1.6051409493786646,-0.3644102178253124,-1.6807896688306156,0,-0.8130343117963108,,1.0361831093256766
2015-08-01,0.7264427849482571,-0.049425537581750945,0.03491515625026915,,1.549503791284838,-0.3852459616047593,-1.7406652020075646,0,-0.8005228576580555,,1.0002042132465827
2015-09-01,0.7327481044546668,0.005165568969996315,0.034090630544745884,,1.495890944857717,-0.39449606058575576,-1.7111931445661301,0,-0.8323254771176376,,0.9655343793407447
2015-10-01,0.9575149638085688,0.030365424399265706,0.034296255694462506,,1.4594999742818207,-0.135747584351825,-0.6605974082081181,0,-0.824394349750775,,0.942001420551593
2015-11-01,1.0858605391205822,0.007285851813618294,0.03180236952599453,,1.3950635225851995,-0.020235804126140428,-0.06068995481033333,0,-0.9205855445916546,,0.9003322828974263
2015-12-01,1.087496809210142,0.01923315751630561,0.032361600397185886,,1.3475504461123042,-0.02061258544524916,-0.05304177044470601,0,-0.899015560214682,,0.8696069888783914
2016-01-01,1.0889215029493018,0.004007904908851501,0.03146354897568355,,2.310801251104765,0.12811899865635032,-0.04638252729702967,0,-0.9336541256612867,,1.4925126475837176
2016-02-01,1.080441237767146,0.07628936004851994,0.03628843604009427,,2.2777075901911883,0.15938424632270526,-0.08602062371911036,0,-0.7475543519161678,,1.4711119609260992
2016-03-01,1.0841428720069686,0.04004516916752365,0.03725261163718554,,2.2020931421885974,0.16078260495753588,-0.06871860169907916,0,-0.7103653238469346,,1.4222143453761573
2016-04-01,1.080829913154535,0.004983443963245904,0.033642495175264554,,2.1856560928235913,0.11944267046795062,-0.08420389368163098,0,-0.8496104186622427,,1.4115849942156762
2016-05-01,1.0974930130991527,-0.07900611975001581,0.03780119420330151,,2.126051411836301,0.1693791070909678,-0.0063179375106686185,0,-0.6892060531589754,,1.3730404190335153
